<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
Feature ID	Data Definition	Alternate Name	Name	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Data Submitter
ABY-0115369	signal	YPO0015	dsbA	1705.5	1584.9	1835.6	1578.8	1936.4	2003.3	930.7	1069.6	953.1	808.9	900	895.2	3028.9	3347.4	2403.5	2832.7	2633.1	2802.3	1852.5	1645.6	1837.8	1943.4	1622.1	1784.5	2234	2270.3	1745.8	2269.4	2244.5	2366.9	YU QIU
ABY-0115372	signal	YPO0017	polA	494	411.3	566.6	489.7	497.6	537.5	459.6	465.6	448.1	426.9	374.3	474.2	691.8	703.7	723.6	802.9	731	724.7	480.2	441.4	380.2	471.6	432.9	531.6	521.5	533.2	655.2	501.9	516.1	510.1	YU QIU
ABY-0115379	signal	YPO0018	tnp	3607.5	4508.5	3508.6	4629.4	4212.5	4437.5	5415.9	6975.9	5637.2	6475.5	6321.3	5538.2	3162.5	2950.7	2935.2	2996.5	3490.9	3195.3	3177.3	3178.4	3176.5	2944.6	3325	3091	4519	6002.2	5826	6136	5547.7	5901.6	YU QIU
ABY-0115381	signal	YPO0019	yihA	650.4	641.4	329.7	558.6	760.7	514.3	222.6	459	306.6	232	323.4	226.2	389.8	375.7	359.9	406.5	465.4	466.3	406.8	416.1	357	381.4	410.9	314.8	701.2	524.9	449.6	563.6	662	643.9	YU QIU
ABY-0115383	signal	YPO0020	yihI	765.7	830.1	867.1	1122.7	1035.2	925.3	621.3	847.1	659.4	698.4	720.5	687.1	663.4	862.7	1172.7	968.7	992.3	992.7	1028.6	1020.2	817.2	878.8	922.5	759.5	1175.3	1261.4	1343.5	1198.9	1215.6	1126.8	YU QIU
ABY-0115384	signal	YPO0021	hemN	604.8	619.3	683.1	656.2	523.7	503.7	650.2	917.4	608	754.7	623.7	671.4	541	526.3	482.1	537.5	490.9	500.7	667.1	681.8	716.5	703.5	665	713.1	632.9	621.3	599.3	590.7	572	635.1	YU QIU
ABY-0115386	signal	YPO0022	glnG	223.3	246.1	281.4	265.1	188.6	143.6	219.6	211.1	253.6	238.2	193.9	249.8	212.7	201.7	236.5	215.9	265.6	222.3	253.3	206.3	270.2	247.9	217.7	216.8	487.5	413.7	454.7	574.5	395.6	384.3	YU QIU
ABY-0115392	signal	YPO0023	glnL	95.4	111.3	181.1	114.4	60.3	102.8	137.8	257.1	281	204.6	247	239.6	186.8	141.2	172.8	196.6	218.3	180.7	199.2	163.6	135.8	167.5	141.6	130.3	337.7	403.3	440.3	366	414.3	426.3	YU QIU
ABY-0115394	signal	YPO0024	glnA	1171.4	1049.6	1210.1	1208.6	1222.4	957.7	489.7	550	652.2	564.4	787.3	650.6	1453.6	1339.2	1578	1487.7	1592	1510.1	1174.5	1050.1	1115.9	1122	1039.3	1094.7	792.4	692.3	678.1	779.4	799.6	745.9	YU QIU
ABY-0115399	signal	YPO0025		40.2	64.3	32.2	19.4	13.8	72.9	69.6	55.3	38.8	47	55.9	39.5	45.5	35.8	47.5	46.1	39.4	51.2	55.5	64.2	19.8	23.9	13.2	19.4	48.9	54.9	90.7	79.4	71.4	55.5	YU QIU
ABY-0115401	signal	YPO0026	bipA	2501.9	2533.5	2979.3	3158.8	3180.2	2334	1748.6	1809.1	1644.1	1707.6	1648.1	1836.7	5287.5	5309.9	5548.3	5316.8	5493.4	5532	4693	4609.4	4706.6	4836	5291.1	4604.6	1346.1	1461.4	1151.5	1149.8	1338.3	1295.4	YU QIU
ABY-0115406	signal	YPO0027	yihX	554.4	549.5	499.1	532.9	481.6	782.7	273.7	314.7	240.5	234.6	245.7	234.6	1903.1	2136.5	2194.5	2379.1	2256.5	2441.5	344.5	282.9	293.4	325	338.1	329	7890.6	8835.8	8638.1	7950.5	8645.8	8395.4	YU QIU
ABY-0115407	signal	YPO0028	yihY	116.1	133.5	118.3	121	116.9	151.5	153.7	171.1	192.4	169.8	161.9	172.1	449.7	357.1	341.9	308	378.2	358.2	103.3	84.8	83.4	92.3	91.3	93.4	733.8	812.9	698.9	782.3	754.9	788.3	YU QIU
